,aircraft.damage,make,model,number.of.engines,total.fatal.injuries,total.serious.injuries,total.minor.injuries,total.uninjured,total.passengers
27149,Destroyed,beech,Be35,1,3,0,0,0,3
27150,Destroyed,beech,Be36,1,2,0,0,0,2
27151,Destroyed,beech,Be35,1,3,0,0,0,3
27152,Substantial,beech,Be35,1,0,0,2,0,2
27153,Substantial,beech,Be58,2,0,0,0,4,4
27154,Substantial,beech,Be36,1,0,0,2,0,2
27155,Substantial,beech,Be23,1,0,0,0,3,3
27156,Substantial,beech,Be23,1,0,0,1,0,1
27157,Destroyed,beech,Be36,1,1,0,0,0,1
27158,Destroyed,beech,Be36,1,3,0,0,0,3
27159,Destroyed,beech,Be23,1,4,0,0,0,4
27160,Substantial,beech,Be35,1,0,0,0,1,1
27161,Destroyed,beech,Be35,1,3,0,0,0,3
27162,Substantial,beech,Be23,1,0,0,0,3,3
27163,Substantial,beech,Be58,2,0,0,0,2,2
27164,Substantial,beech,Be35,1,0,0,1,2,3
27165,Substantial,beech,Be36,1,0,0,0,3,3
27166,Substantial,beech,Be35,1,0,0,4,0,4
27167,Substantial,beech,Be36,1,0,1,1,0,2
27168,Destroyed,beech,Be23,1,0,2,0,0,2
27169,Destroyed,beech,Be58,2,2,0,0,0,2
27170,Destroyed,beech,Be36,1,6,0,0,0,6
27171,Destroyed,beech,Be95,2,1,0,0,0,1
27172,Destroyed,beech,Be95,2,1,0,0,0,1
27173,Destroyed,beech,Be35,1,2,0,0,0,2
27174,Substantial,beech,Be35,1,2,0,0,0,2
27175,Substantial,beech,Be36,1,0,0,0,5,5
27176,Destroyed,beech,Be35,1,4,0,0,0,4
27177,Substantial,beech,Be35,1,0,1,0,0,1
27178,Substantial,beech,Be23,1,0,0,1,1,2
27179,Substantial,beech,Be36,1,0,0,0,2,2
27180,Substantial,beech,Be35,1,0,0,2,0,2
27181,Destroyed,beech,Be35,1,0,0,0,2,2
27182,Substantial,beech,Be58,2,0,0,3,3,6
27183,Substantial,beech,Be36,1,0,0,0,2,2
27184,Destroyed,beech,Be23,1,0,0,0,3,3
27185,Substantial,beech,Be35,1,1,0,0,0,1
27186,Substantial,beech,Be36,1,0,0,0,4,4
27187,Substantial,beech,Be35,1,0,0,0,1,1
27188,Destroyed,beech,Be35,1,0,0,4,0,4
27189,Destroyed,beech,Be36,1,1,0,0,0,1
27190,Substantial,beech,Be35,1,0,0,0,4,4
27191,Substantial,beech,Be35,1,1,1,0,0,2
27192,Substantial,beech,Be36,1,1,2,1,0,4
27193,Substantial,beech,Be35,1,0,0,0,2,2
27194,Substantial,beech,Be35,1,0,0,0,4,4
27195,Destroyed,beech,Be58,2,3,1,0,0,4
27196,Substantial,beech,Be36,1,0,0,0,4,4
27197,Destroyed,beech,Be23,1,2,0,0,0,2
27198,Substantial,beech,Be35,1,0,2,0,0,2
27199,Substantial,beech,Be58,2,0,0,0,3,3
27200,Substantial,beech,Be35,1,0,0,0,1,1
27201,Substantial,beech,Be35,1,0,0,0,1,1
27202,Substantial,beech,Be35,1,0,0,1,3,4
27203,Destroyed,beech,Be36,1,1,0,0,0,1
27204,Substantial,beech,Be23,1,0,0,0,4,4
27205,Substantial,beech,Be36,1,0,0,3,0,3
27206,Substantial,beech,Be35,1,0,0,0,2,2
27207,Substantial,beech,Be35,1,0,1,0,1,2
27208,Destroyed,beech,Be95,2,2,0,0,0,2
